cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,stars,year,month,weekday,hour,comment_len
滚淡小姐,2018/9/12 20:44,sml-str40,不 知道 算不算 网红 只是 在 很多 小伙伴 的 朋友圈 都 看到 过 自然 要 来 打卡 更何况 一 晚上 在 北京路 和 上下 九转 得 饥肠辘辘 晚饭 都 没 吃 记得 似乎 要 左 拐 延伸 蛮远 的 路 才能 找到 红色 的 招牌 漆金 的 字 很 显眼 一堆 人聚 在 门口 等 陈皮 红 豆沙 跨进 门槛 陈皮 的 香气 非常 突出 最后 走 的 时候 很 后悔 没来 上 一碗 等等 等 去 他们 家 就 这 三个 字 都 晚上 点半 了 还是 乌 泱泱 那么 多人 好不容易 拼 到 一桌 拿 起 菜单 有点 懵 本来 打算 就 吃 了 甜品 就 走 结果 发现 他们 家 是 综合 的 店 还有 咸食 于是 研究 了 老半天 煲 仔 牛腩 牛腩 偏老 咬 不 下去 萝卜 倒 是 酥软 但是 味重 基本 弃 了 鲜虾 云吞 不赖 但 因为 广州 此物 遍地 都 烧 得 不错 因此 没有 特别 的 感觉 西关 猪脚 姜醋 捞面 这道 新奇 的 面点 让 我 很 尴尬 自己 仗 着 点菜 鲜少 失手 毅然 挑选 了 这道 结果 嘛 酸 甜味 且 姜 浓 的 面 吃 不惯 但 这 猪脚 姜醋 现在 查 了 下 却是 相当 有名 的 是 一道 广东 的 传统 名菜 选用 猪脚 鸡蛋 肉 姜及 广东 特有 的 甜 醋 精心 烹饪 出来 的 尤其 对 女生 非常 滋补 的 菜肴 不过 吧 我 是 欣赏 不 来 口味 差异 太大 了 去年 回看 拜托 了 冰箱 的 时候 也 曾 发现 蔡康永 恋恋 不 忘 童年 吃 到 的 一道 潮汕 酸甜 拌面 大概 也 是 这种 系列 的 口味 滚淡 表示 理解 但是 真的 无福消受 椰子 木瓜 炖雪耳 我 爸 过来 捞 了 一块 说 这个 冰 好吃 我 说 黄 的 是 木瓜 我爸 瞬间 石化 了 哈哈哈 双皮奶 之前 在 上下 九 另外 一家 茶餐厅 里 饭菜 不 好吃 就 双皮奶 还行 我 爸 就 很 有 兴趣 地 又 给 自己 点 了 一碗 还 好奇 问 我 吃 起来 有没有 讲究 我 跟 他 说 了 标准 后 他 说 恩 达到 了 叫 我 也 尝尝 讲真 我 觉得 南信 的 甜品 比 咸食 做得好 这份 双皮奶 尤其 靓 如果说 广州 街头 任意 一家 双皮奶 都 比 杭州 餐厅 供应 得 好 一个 手掌 那么 南信 就是 这些 双皮奶 的 级别 说不出 的 滑腻 绵甘 超级 棒,很好,很好,很好,518986,4,2018,9,2,20,778
请叫我伊丽莎丸袁哥,2018/8/22 11:30,sml-str50,这家 店 可谓 是 人气 爆棚 小贴士 是 座位 先 让 同行 小伙伴 找 好 否则 买好 都 不 知道 坐 哪里 这家 店有 上下 两层 楼下 一层 由于 网络 原因 只能 付现金 二层 可微信 支付宝 我点 的 是 椰汁 木瓜 雪耳 广州 的 甜品 量 都 很大 端上来 满满 一碗 超大 超 满足 雪耳配 着 椰汁 清滑 爽口 不 甜腻 再配 着 大块 木瓜 别提 有 多 满足 了 吃 着 幸福感 爆棚 之后 顺便 外带 了 红豆 双皮奶 真心 好评 完全 不 甜腻 奶 味十足 红豆 也 是 现烧 的 红 豆沙 不 甜腻 配 上 双皮奶 绝代 双骄 啊 希望 开来 上海,非常好,非常好,非常好,518986,5,2018,8,2,11,275
Hugewood,2018/8/9 13:03,sml-str40,这次 是 特地 为了 南信 才 去 的 上下 九 真的 是 一家 很 任性 的 店 准点 九点半 开门 九点 二十 到 门口 还是 关店 状态 三十分 就 冲进去 拿 了 号 因为 是 第一个 到 的 所以 店里 都 没有 人 很少 见 的 看不到 人山人海 的 时间 点 想着 还是 点 招牌 吧 双皮奶 点 了 红豆 双皮奶 一直 等 一直 等等 到 一楼 从 只有 我 一个 人到 整场 坐满 大家 开始 拼桌 还好 早上 时间 充裕 过 了 大概 半个 小时 服务员 终于 端 着 大 托盘 出来 了 一小 碗 我点 了 热 的 所以 盖 着 盖子 看起来 卖相 不是 特别 于是 希望 味道 能 好 一点 最后 有点 失望 因为 一勺 下去 发现 中间 是 稀 豆腐脑 的 那种 流质 状态 太碎 太碎 了 并 没有 很 喜欢 难道 这 就是 正宗 的 双皮奶 以及 味道 真的 没有 想象 中 那么 好 齁 甜 三口 之内 就 腻 了 还好 红豆 不甜 但 做成 了 红 豆沙 再 和 稀 的 双皮奶 在 一起 口感 真的 很 总之 接受 无能 服务 点单 的 阿姨 态度 真的 有点 硬 不过 可能 就是 大 店 通病 没什么 好 说 的 等待 的 时间 会 有 服务员 上 茶水 味道 就 不 评论 了 总之 我 喝 不惯,好,很好,好,518986,4,2018,8,3,13,470
360_执着的马,2018/8/29 2:02,sml-str50,睡 到 自然 醒 又 去 上下 九 步行街 的 南信 要 一份 姜撞奶 一份 莲子 伴 椰汁 双皮奶 一份 上 汤 牛 三星 算重 口味 吧 这里 人 都 爱 吃 牛 肺 牛心 和 牛 肝尝 了 几片 除了 韭菜 好吃 那些 嘎嘎 片片 真 不 喜欢 剩下 浪费 了 罪过 这 算是 此次 游走 在外 最后 一天 的 早餐 了,非常好,非常好,非常好,518986,5,2018,8,2,2,180
小昕子_17,2018/8/28 13:02,sml-str40,广州 的 老字号 不少 其中 招牌 中有 文字 的 就 有 好几家 每家 都 有 自己 的 招牌 产品 而 在 这里 我 独爱 他家 的 猪 手面 可能 会 有人 有 疑问 他家 不是 主打 牛奶 甜品 出名 的 嘛 你 怎么 会 喜欢 吃 猪 手面 呢 我 可以 负责 任 的 告诉 你 其实 他家 的 猪 手面 还 真是 挺好吃 的 哟 这里 不算 大 怀旧 的 装修 红木 的 桌椅 大理石 的 台面 无一 不 在 诉说着 他家 的 历史 在 这里 点上 一碗 面食 或者 一份 甜品 在 美味 中 慢慢 感觉 时间 的 流畅 平日 工作 中 的 疲惫 仿佛 都 被 挡 在 了 门外 这里 给 你 的 只有 美食 和 岁月 静好 点 了 一份 最爱 的 猪 手面 猪手 洗得 很 干净 几乎 没有 什么 细毛 猪皮 爽滑 弹牙 面条 也 是 记忆 中 的 味道 浓厚 的 汤汁 整碗 喝完 也 不会 口渴 牛 三星 满满的 一碗 牛 三星 完全 遮盖 了 那 碗 面条 牛 三星 口感 爽脆 而且 没有 异味 洗得 很 干净 好吃 真心 的 很 喜欢 广州 的 老字号 喜欢 周末 搭 着 公交 游 广州 去 到 想 去 的 地方 为 的 就是 那 份 记忆 中 的 味道,很好,好,好,518986,4,2018,8,1,13,446
lincolnsuper,2018/9/6 22:14,sml-str40,传统 的 广式 甜品店 就 应该 是 这个 样子 店面 不 大 店员 都 是 有点 年纪 的 阿姨 很 亲切 的 说 着 家常 环境 不用 特别 好 但是 给 人 感到 是 街坊邻里 聚脚 的 地方 甜品 品种 是 传统 为主 各种 奶制品 姜撞奶 双皮奶 凤凰 奶糊 三个 不同 甜度 级别 的 还有 杨枝 甘露 这 类 港式 甜品 也 混 在 里面 有 二楼 但 不常开 在 上下 九开 的 这家 毕竟 卖 的 是 情怀 打 传统 牌 但是 又 需要 走量 没法 做 精 按 我 的 口味 是 刚刚 好 不过 福建 人民 表示 吃 不惯 收银台 在 最 里面 手机信号 非常 不好 付款 方式 受到 严重 限制,很好,好,好,518986,4,2018,9,3,22,282
肥牛佳,2018/9/5 22:50,sml-str50,老广 同事 极力推荐 的 店铺 在 宝华 面馆 吃 完 主食 一路 散步 过来 接着 战斗 知道 自己 的 肚量 就 点 了 红豆 双皮奶 和 凤凰 奶糊 不 支持 微信 支付宝 只能 现金 拿 小票 等 了 近 十分钟 双皮奶 姗姗 而 来 看着 一 大碗 上面 的 红豆 一 大片 而且 炖 得 绵绵 的 迫不及待 舀 起 一勺 入口 天呐 这 才 是 我 梦寐以求 的 双皮奶 浓郁 的 奶香特 自然 的 感觉 而 不是 靠 奶粉 冲 的 假 味道 而且 甜度 把 控得 很 完美 多一分 就 腻 少 一分 就 淡 我 觉得 之前 在 文明 路 吃 的 完全 就是 吼 得 凶 的 网红店 水平 而已 和 南信家 相比 差距 太大 啦 再 等 了 一会儿 凤凰 奶糊 上来 了 甜蜜 香浓 好暖心 啊 甜蜜 的 感觉 让 我 只 想 沉溺 其中 不愿 自拔 两碗 下肚 真的 没 力气 再 吃 了 挺 着 撑 得 不行 的 肚子 幸福 离开 最棒 的 甜品店 强烈推荐,非常好,一般,一般,518986,5,2018,9,2,22,346
两活勿连,2018/9/11 13:18,sml-str40,上下 九 步行街 上 的 网红 甜品店 人气 爆棚 门口 有 一面 墙 的 各种 认证 获奖 加持 环境 上下 两层楼 座位 很 紧凑 还是 人满为患 到 店 运气 不错 正好 接到 一张 四人桌 服务 下单 排队 时间 不长 上餐 其实 也 很快 就是 对 单号 总是 出错 前后 好 几次 建议 改进 一下 对接 双皮奶 杨枝 甘露 椰汁 木瓜 雪耳 椰汁 红豆 西米露 都 很 地道 没有 雷区 分量 也 很 足 吃 完 都 有点 饱腹 建议 按四人 三份 会 点 比较 好,非常好,好,好,518986,4,2018,9,1,13,251
宝贝longan,2018/9/5 15:34,sml-str40,不是 周末 节假日 在 上下 九 步行街 的 南信 甜品店 也 是 人山人海 就算 肯 一起 搭台 也 必须 等位 好 在 等 了 没有 多久 就 可以 和 别人 一起 搭台 了 点 了 姜撞奶 很 香 的 奶味 甜度 适中 姜汁 遇到 热 牛奶 静置 分钟 后 会 凝固 奶 上面 放一 小勺 不 沉入 口嫩 滑 细腻 除了 奶 味十足 之外 还有 浓浓的 姜味 十分 暖 胃 椰汁 红豆 香芋 泥 如此 甜品 名字 一样 椰汁 香 红豆 粉 香芋 泥 真的 是 粉 香粉 香 的 这 三样 混 和 在 一起 做 的 糖水 真的 好 好吃 喜欢 吃 香芋 的 我 大爱赞 老字号 的 出品 果然 稳定,很好,好,好,518986,4,2018,9,2,15,312
柚chopyf,2018/9/13 11:37,sml-str40,我 为 代言 地址 荔灣區 第十 甫 路 号 近 宝华 路 人均 元 左右 在 广州 众多 的 双皮奶 中 这家 是 我 几乎 每次 来 广州 都 会 打卡 的 店 南信 牛奶 甜品 专家 始于 年 距今 也 有 八十余年 了 它 家 的 双皮奶 是 用 了 新鲜 的 水 牛奶 水 牛奶 的 产量 较 低 但 营养价值 高 在 这里 似乎 没有 什么 高峰期 可言 几乎 什么 时候 都 要 排队 有 一楼 二楼 之 分店 内 很大 但 依然 要 排队 新鲜 椰汁 炖 双皮奶 元 一份 若 你 胃口 小 的话 这家 的 双皮奶 我 建议 你 两人 吃 一份 因为 它家 的 双皮奶 相比 其他 家 的 份量 都 要 大 很多 因为 我们 很 爱 吃 双皮奶 所以 我们 是 一人 一份 的 店 内 人太多 了 所以 只能 搭台 坐 椰汁 双皮奶 奶 香味 重 椰汁 的 香味 相比之下 较淡 入口 不是 那种 立即 化成 水 的 口感 比较 醇厚 扎实 的 感觉 不过 吃 到 最后 会腻 更 多 精彩 可以 详见 我 的 帖子,很好,很好,很好,518986,4,2018,9,3,11,410
suki_gb,2018/8/30 23:55,sml-str50,去 广州 玩 美食 当然 不能 辜负 住 在 上下 九 晚上 点 出来 觅食 上 看 了 别人 的 笔记 直接 选择 了 南信 晚上 过 了 饭点 居然 还 满座 生意 火到 不行 和 别人 拼桌 坐下 把 推荐 的 和 想 吃 的 都 点 了 可惜 牛 三星 卖光 了 甜品 不 说 了 双皮奶 招牌 很 浓郁 很 厚 但是 不甜 非常 喜欢 两款 椰汁 西米露 都 不错 西米 很大 比 上海 的 大多 了 很 不 甜 好吃 干 炒 牛河 好 香量 翻 上海 的 一倍 最后 实在 吃不下 打包 了 鲜虾 云吞面 小份 的 已经 是 上海 大份 的 量 云吞 还是 大虾 很 满足 汤 也 很鲜 杂锦 鱼 蛋粉 里面 好多 丸子 鱼蛋 牛肉丸 包心 丸 还有 贡丸 都 好弹 好 好吃 大份 的 量 实在 是 有够 大 这里 因为 生意 好 所以 环境 一般 不过 甜品 口味 超级 的 以至于 第二天 晚上 点 了 外卖 作 夜宵,非常好,好,很好,518986,5,2018,8,3,23,345
几哩是块里脊_,2018/9/24 9:32,sml-str40,来 了 广州 可以 说出 一系列 小吃 早茶 肠粉 烧腊 甜品 糖水 汤品 等 从 饮食文化 上面 就可以看 出来 一个 城市 的 底蕴 如何 广州 的 美食 非 全国 连锁店 真的 需要 花费 很久来 品来味 感觉 自己 可能 在 以后 的 时间 里 真的 会常来 吃 点 小吃 南信 牛奶 甜品 专家 这家 也 算是 来 广州 必 打卡 的 甜品 铺子 广州 的 这种 老 店铺 子 都 很 高 冷 的 只 收 现金 所以 不要 妄想 带 着 手机 刷 一碗 甜品 来 之前 备好 零钱 才行 生意 真的 特别 好 应该 大多数 外地人 慕名而来 没有 位置 只能 打包 点 了 一份 双皮奶 一份 姜汁 撞奶 没有 任何 装饰 图片 看起来 只是 两碗 白乎乎 的 图 图端 着 小碗 在 店里 身手 矫健 地 穿梭 导致 双皮奶 都 奶碎 了 不过 还好 细腻 嫩 滑 的 口感 还 在 纯正 的 奶 香味 依旧 非常 浓郁 基本上 入口 即 化 第二款 酱汁 撞奶 立马 能 闻到 姜 的 味道 特别 浓郁 口感 像 布丁 一样 顺滑 姜 的 辛辣 和 奶 的 香甜 融为一体 竟然 不会 突兀 吃 上 一口 感觉 胃部 都 暖暖的 敷贴 舒服,非常好,好,好,518986,4,2018,9,0,9,427
荷塘青韵,2018/9/4 23:17,sml-str30,对于 甜食 我 并 不是 很 爱 但 既然 出差 来到 广州 肯定 要 去 次 当地 有名 的 南信 牛奶 甜品 专家 差不多 午饭 时段 到 的 那 小伙伴 们 都 点 了 自己 想 吃 的 东西 我 就要 了 最 简单 的 鲜虾 云吞 和 双皮奶 云吞 貌似 味精 放 了 太多鲜 到 眉毛 掉下来 双皮奶 却 又 太厚 如果 再 薄 一点 口感 会 更好 此店 生意 很 好 几乎 都 是 拼桌 一起 吃 的 我们 四个 人 是 分 两批 去 的 所以 也 没 机会 坐 一起 价格 方面 算是 很 亲民 不过 偶尔 吃 吃 还行 一直 吃会 很 腻,好,好,好,518986,3,2018,9,1,23,260
树懒丹,2018/9/12 21:36,sml-str50,打卡 广州 上下 九 步行街 那条 类似 于 上海南京路 步行街 的 街 到处 琳琅满目 的 旅游 商品 却 似 鸡肋 我 反正 是 用 走马观花 的 主要 目的 还是 冲着 听说 人气 爆棚 的 南信 去 的 我 是 跟着 手机 导航 找 去 的 就 在 陶陶 居 斜对面 人气 真的 是 旺 找个 座位 都 很 难 挑 喜欢 吃 的 点 呗 除了 牛 三星 我们 不是 很 喜欢 其他 都 灰常 好次 初次 去 一个 餐厅 对点 单 没 经验 的话 照着 大拇指 点 基本 不会错 的 红豆 双皮奶 和 鲜虾 肠粉 特别 特别 推荐,非常好,非常好,非常好,518986,5,2018,9,2,21,250
忽忽_3307,2018/9/26 9:13,sml-str40,抱 着 很大 期望 去 的 人 真的 超级 多 买 的 门口 的 外带 双皮奶 和 杨枝 甘露 味道 不错 不过 也 没有 传说 中 那么 美妙,很好,一般,非常好,518986,4,2018,9,2,9,49
BerlinettaNNN,2018/9/25 23:37,sml-str10,超级 恶心 打包 了 三份 回家 吃 到 第二份 的 时候 直接 吃 出 不 知道 是 什么 跟 锈 铁丝 一样 的 不明 物体 看到 多赞 才 敢 来 吃 的 排队 等 半天 结果 就 等到 这 玩意 没人 吃 了 拉肚子 的,差,差,差,518986,1,2018,9,1,23,83
我家细细B思宇88255,2018/9/25 23:11,sml-str30,南信 甜品 专家 是 广州 必 打卡 地点 地理位置 真是 极致 的 热闹 夸张 一点 说 一路 走到 南信路 人 可以 把 你 的 衣袖 擦破 店内 也 是 座无虚席 需要 拼桌 我们 十几个 人 的 大 队伍 无奈 只能 分成 几桌 落座 在 餐厅 的 各个 角落 店内 的 生意 比起 陈添记 有过之而无不及 哦 慢慢 一口 下去 双皮奶 会 占领 你 嘴巴 里 的 每 一个 角落 满满 都 是 牛奶 的 香味 然后 你 可能 就 会 觉得 这个 双皮奶 真的 很腻 腻 到 你 的 嘴巴 都 张不开 了 比 鱼皮 还要 腻 不是 说好 来 解腻 得 么 另外 一位 小伙伴 点 了 一份 百合 绿豆汤 口感 清新 建议 大家 在 吃 双皮奶 的 时候 可以 试下配 一份 百合 绿豆汤,好,好,好,518986,3,2018,9,1,23,322
ShinyNikki,2018/9/25 22:44,sml-str50,周二 两天 打三卡 点评 都 不 推送 我 让 点评 了 哈哈 今天 去 了 北京路 晚上 游船 了 珠江 回 上下 九街 吃晚饭 呃算 夜宵 了 吧 哈哈哈 麻麻 依旧 要 吃 双皮奶 于是 从 文化公园 下 地铁 走 啊 走 啊 走 终于 走到 了 南信 今天 怎么 感觉 这么 遥远 点 了 热南信 双皮奶 元上 汤 鱼蛋 拼 云吞 米粉 元 麻麻 是 真的 不 觉得 双皮奶 腻 啊 上 汤 米粉 真 好吃 强推 里面 有 三个 香菇 荸荠 猪肉 馅儿 的 云吞 一个 鲜虾 的 云吞 超 好吃 给 的 泡椒 萝卜 也 巨 好吃,非常好,非常好,非常好,518986,5,2018,9,1,22,272
爱吃甜食得小吃兔,2018/9/25 22:06,sml-str50,依旧 那么 好吃 这次 去 竟然 可以 叫外卖 了 真 好 啊 坐在 酒店 里 就 能 吃 到 和 店里 一样 的 双皮奶 满满的 幸福感 芒果 很甜 很 新鲜 杨枝 甘露 杨枝 甘露 也 很 纯正 牛 三星 粉 广州 真的 是 没有 什么 是 难吃 的 生活 在 广州 的 人 好 幸福 啊,非常好,非常好,非常好,518986,5,2018,9,1,22,167
C-zm_6372,2018/9/25 20:48,sml-str50,逛街 正好 经过 就 进去 了 椰汁 香芋 西米露 和 鲜虾 云吞面 也 很 好吃 推荐 推荐,非常好,非常好,非常好,518986,5,2018,9,1,20,33
